Mes;Dia;Time;Jogador;Q1_Kills;Q2_Kills;Q3_Kills
Maio;19;UGD;UGD Treon;11;12;13
Maio;19;UGD;UGD cool7;8;10;6
Maio;19;UGD;UGD Kaze;13;1;8
Maio;19;UGD;UGD ARISE;8;8;4
Maio;19;RED;RED snow777;3;0;1
Maio;19;RED;RED APENAS;7;0;4
Maio;19;RED;CF ALMEIDA;0;0;1
Maio;19;RED;LMF Boss;5;0;3
Maio;19;RED Lango;RED LANGO;4;7;0
Maio;19;RED Lango;RED KENNZY;6;6;0
Maio;19;RED Lango;MOL ADRIAN;2;1;0
Maio;19;RED Lango;LXELTINHO;1;5;0
Maio;19;LMF;LMF LACERDA;2;0;3
Maio;19;LMF;LMF CALOP12;1;0;1
Maio;19;LMF;LMF mtfacil;1;0;5
Maio;19;LMF;LMF XIT;1;0;0
Maio;19;KOV;KOV FushyX;5;2;2
Maio;19;KOV;KOV ADAN;7;5;2
Maio;19;KOV;TTKKAIKE;5;2;0
Maio;19;KOV;KOV ALONE;0;1;5
Maio;19;CMF;CMF Syx;0;7;7
Maio;19;CMF;CMF Lyx7;0;7;3
Maio;19;CMF;CMF MOIZO;0;4;5
Maio;19;CMF;CMF Stygian;0;3;7
Maio;19;Time_E;RED REZE;0;0;0
Maio;19;Time_E;Muggle;0;6;0
Maio;19;Time_E;Shxrk;0;4;0
